epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,249.719,1.05923,1.58131,1.01779,0.44614,0.43874,0.25618,0.18181,0.96575,2.51402,1.00537,0.0700228,0.0033308,0.0033308
2,478.948,0.9883,1.39277,1.00579,0.25619,0.53895,0.33438,0.24755,0.88268,1.35246,0.96781,0.0399285,0.00656989,0.00656989
3,702.775,0.9441,1.32373,0.99184,0.29278,0.53522,0.367,0.27199,0.87081,1.27602,0.95367,0.00973998,0.00971469,0.00971469
4,924.293,0.90093,1.26245,0.97447,0.35922,0.58453,0.39809,0.30746,0.79524,1.19069,0.93071,0.00957571,0.00957571,0.00957571
5,1145.92,0.86321,1.21453,0.95775,0.34354,0.60802,0.41761,0.32019,0.78147,1.15381,0.92198,0.00943429,0.00943429,0.00943429
6,1366.5,0.84293,1.18941,0.95306,0.35104,0.64478,0.43432,0.33927,0.74565,1.10652,0.91268,0.00929286,0.00929286,0.00929286
7,1587.55,0.82684,1.1622,0.94333,0.38627,0.63218,0.44906,0.34943,0.74848,1.10038,0.91546,0.00915143,0.00915143,0.00915143
8,1809.32,0.81083,1.1359,0.94326,0.42713,0.62163,0.46844,0.36512,0.74062,1.09034,0.91168,0.00901,0.00901,0.00901
9,2030.31,0.80536,1.13168,0.93622,0.45562,0.58412,0.47069,0.36696,0.72018,1.06489,0.9022,0.00886857,0.00886857,0.00886857
10,2251.07,0.78914,1.10302,0.9324,0.42428,0.62014,0.48443,0.38367,0.7001,1.02283,0.89301,0.00872714,0.00872714,0.00872714
11,2472,0.78165,1.08962,0.92991,0.42725,0.63746,0.48686,0.38604,0.69547,1.02447,0.89137,0.00858571,0.00858571,0.00858571
12,2692.55,0.77502,1.08463,0.92667,0.41099,0.63835,0.4928,0.39114,0.68398,1.0037,0.88985,0.00844429,0.00844429,0.00844429
13,2913.4,0.76944,1.06986,0.92338,0.44833,0.62775,0.50013,0.39847,0.67644,0.9888,0.88678,0.00830286,0.00830286,0.00830286
14,3134.22,0.76065,1.06222,0.92202,0.42695,0.65303,0.50481,0.40405,0.67485,0.98176,0.88602,0.00816143,0.00816143,0.00816143
15,3355.16,0.75309,1.05292,0.91783,0.44676,0.65656,0.50948,0.40692,0.66628,0.95931,0.88045,0.00802,0.00802,0.00802
16,3577.06,0.75012,1.04553,0.91564,0.42687,0.6697,0.51562,0.41278,0.65924,0.95457,0.87847,0.00787857,0.00787857,0.00787857
17,3798.5,0.7429,1.02669,0.91546,0.43254,0.69369,0.5286,0.42436,0.65061,0.93568,0.87492,0.00773714,0.00773714,0.00773714
18,4019.48,0.73718,1.02389,0.91258,0.42986,0.69176,0.53159,0.42163,0.65048,0.93448,0.87567,0.00759571,0.00759571,0.00759571
19,4240.43,0.73517,1.01248,0.91064,0.43998,0.68459,0.5313,0.42622,0.64613,0.93038,0.87208,0.00745429,0.00745429,0.00745429
20,4461.62,0.72976,1.00346,0.9094,0.44916,0.68518,0.54104,0.43349,0.64009,0.90771,0.8707,0.00731286,0.00731286,0.00731286
21,4684.72,0.72676,1.00013,0.90737,0.4457,0.69485,0.54296,0.43619,0.63513,0.89882,0.87206,0.00717143,0.00717143,0.00717143
22,4908.95,0.72163,0.99025,0.90676,0.44235,0.71065,0.55105,0.44307,0.63253,0.89355,0.86909,0.00703,0.00703,0.00703
23,5129.91,0.71882,0.97826,0.90669,0.43999,0.71766,0.55813,0.44905,0.62385,0.88496,0.86535,0.00688857,0.00688857,0.00688857
24,5350.55,0.71439,0.97207,0.90381,0.4395,0.71956,0.55423,0.44781,0.6218,0.88136,0.86482,0.00674714,0.00674714,0.00674714
25,5571.72,0.70856,0.96895,0.90147,0.43221,0.73899,0.55732,0.44958,0.62159,0.87289,0.86327,0.00660571,0.00660571,0.00660571
26,5792.73,0.70858,0.96193,0.90245,0.44984,0.73016,0.56652,0.45487,0.61661,0.86726,0.86392,0.00646429,0.00646429,0.00646429
27,6013.77,0.70011,0.95603,0.90084,0.44374,0.7424,0.56388,0.45613,0.61444,0.86545,0.86193,0.00632286,0.00632286,0.00632286
28,6234.59,0.69851,0.95234,0.89687,0.44806,0.73321,0.56933,0.4588,0.61294,0.85994,0.86123,0.00618143,0.00618143,0.00618143
29,6455.65,0.69071,0.9478,0.89578,0.44155,0.73494,0.57243,0.46149,0.61006,0.85556,0.85986,0.00604,0.00604,0.00604
30,6676.35,0.6938,0.94339,0.89709,0.44208,0.73741,0.57348,0.46416,0.60602,0.84968,0.85783,0.00589857,0.00589857,0.00589857
31,6897.27,0.68623,0.92863,0.8915,0.44299,0.74375,0.57559,0.46553,0.60407,0.84861,0.85652,0.00575714,0.00575714,0.00575714
32,7119.06,0.68377,0.9387,0.89084,0.44543,0.74112,0.57708,0.46691,0.60214,0.84419,0.85601,0.00561571,0.00561571,0.00561571
33,7340.19,0.6835,0.92561,0.89124,0.43901,0.75545,0.5775,0.46794,0.60024,0.84311,0.85498,0.00547429,0.00547429,0.00547429
34,7561.25,0.67536,0.92109,0.88903,0.45078,0.74266,0.57955,0.46918,0.59856,0.83874,0.85546,0.00533286,0.00533286,0.00533286
35,7782.19,0.67247,0.91343,0.88927,0.45208,0.74358,0.58039,0.47006,0.59667,0.83696,0.85457,0.00519143,0.00519143,0.00519143
36,8008.09,0.67268,0.91051,0.88925,0.45065,0.74724,0.58144,0.47208,0.59386,0.8336,0.85383,0.00505,0.00505,0.00505
37,8229.22,0.66854,0.90869,0.88636,0.45397,0.74609,0.58161,0.4727,0.59219,0.83146,0.85336,0.00490857,0.00490857,0.00490857
38,8450.22,0.66947,0.90713,0.88649,0.45531,0.74757,0.58336,0.47402,0.59066,0.82921,0.8526,0.00476714,0.00476714,0.00476714
39,8671.41,0.66293,0.90666,0.88504,0.45329,0.74959,0.58468,0.47562,0.59028,0.82645,0.85253,0.00462571,0.00462571,0.00462571
40,8892.46,0.65918,0.89655,0.8827,0.45019,0.75242,0.58532,0.47589,0.58976,0.82392,0.85225,0.00448429,0.00448429,0.00448429
41,9113.6,0.65988,0.89555,0.88411,0.44654,0.75805,0.58717,0.47747,0.58947,0.82259,0.85178,0.00434286,0.00434286,0.00434286
42,9334.99,0.65419,0.8927,0.88374,0.44988,0.7542,0.58836,0.47802,0.58898,0.82191,0.85136,0.00420143,0.00420143,0.00420143
43,9556.2,0.65375,0.89143,0.88351,0.45185,0.75032,0.589,0.47842,0.58793,0.82008,0.85084,0.00406,0.00406,0.00406
44,9777.18,0.64747,0.8789,0.88084,0.45374,0.75042,0.58885,0.47905,0.58732,0.81946,0.8508,0.00391857,0.00391857,0.00391857
45,9997.73,0.65059,0.88183,0.88054,0.45494,0.75285,0.58943,0.47979,0.58599,0.81752,0.8505,0.00377714,0.00377714,0.00377714
46,10218.3,0.6456,0.87505,0.87924,0.45559,0.75234,0.59017,0.48031,0.58455,0.81668,0.85006,0.00363571,0.00363571,0.00363571
47,10439.1,0.64517,0.87965,0.87829,0.45668,0.7513,0.59114,0.48147,0.58363,0.81575,0.8498,0.00349429,0.00349429,0.00349429
48,10660.6,0.64176,0.87515,0.87868,0.45635,0.75388,0.59221,0.4821,0.5826,0.81462,0.84953,0.00335286,0.00335286,0.00335286
49,10881.7,0.64015,0.86636,0.88025,0.45572,0.75424,0.59273,0.48208,0.58206,0.81332,0.84935,0.00321143,0.00321143,0.00321143
50,11103.6,0.63375,0.8674,0.87468,0.45671,0.75524,0.59317,0.48284,0.58111,0.81213,0.84912,0.00307,0.00307,0.00307
51,11325,0.63648,0.86067,0.8771,0.45619,0.75854,0.59356,0.48346,0.58023,0.81126,0.84896,0.00292857,0.00292857,0.00292857
