epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,235.004,0.70685,1.50631,0.8966,0.47271,0.59234,0.49388,0.42299,0.55898,1.00895,0.86438,0.00333063,0.00333063,0.00333063
2,456.312,0.71286,1.06089,0.90189,0.47012,0.62008,0.53396,0.44856,0.59154,0.93788,0.87887,0.00661999,0.00661999,0.00661999
3,675.114,0.75146,1.03784,0.91375,0.48864,0.67076,0.56071,0.46272,0.6282,0.91218,0.89356,0.00986534,0.00986534,0.00986534
4,890.415,0.7834,1.04841,0.92539,0.49183,0.66302,0.54833,0.44959,0.64765,0.92089,0.90651,0.009802,0.009802,0.009802
5,1106.88,0.7688,1.02332,0.91427,0.49738,0.65889,0.56615,0.46502,0.6215,0.89347,0.88921,0.009736,0.009736,0.009736
6,1325.41,0.77048,1.00236,0.9106,0.49299,0.65167,0.55907,0.45797,0.62854,0.89368,0.88601,0.00967,0.00967,0.00967
7,1543.36,0.76182,0.98557,0.90733,0.4746,0.68019,0.56961,0.46871,0.60728,0.87545,0.87809,0.009604,0.009604,0.009604
8,1758.93,0.75547,0.96231,0.90621,0.49825,0.69649,0.57758,0.47554,0.61196,0.85331,0.87697,0.009538,0.009538,0.009538
9,1975.27,0.75155,0.95825,0.89918,0.48173,0.71098,0.56667,0.46727,0.59728,0.83996,0.87382,0.009472,0.009472,0.009472
10,2192.8,0.74444,0.94589,0.89887,0.50114,0.68296,0.58932,0.48732,0.60217,0.8305,0.86749,0.009406,0.009406,0.009406
11,2411.01,0.74242,0.93689,0.89833,0.50484,0.67561,0.58901,0.48463,0.5986,0.82767,0.87094,0.00934,0.00934,0.00934
12,2627.05,0.74366,0.93679,0.89741,0.51108,0.69825,0.58142,0.48195,0.5881,0.82238,0.86826,0.009274,0.009274,0.009274
13,2843.36,0.73377,0.92797,0.89161,0.51006,0.7017,0.60047,0.49637,0.58454,0.79889,0.86478,0.009208,0.009208,0.009208
14,3060.73,0.72861,0.92456,0.89304,0.50829,0.72756,0.61088,0.50189,0.58469,0.79,0.86567,0.009142,0.009142,0.009142
15,3276.71,0.72965,0.91474,0.89312,0.49108,0.69403,0.60471,0.50112,0.57901,0.7964,0.86552,0.009076,0.009076,0.009076
16,3493.65,0.72778,0.91762,0.89199,0.5071,0.70024,0.60894,0.50471,0.57802,0.7886,0.86364,0.00901,0.00901,0.00901
17,3710.45,0.72173,0.9079,0.8908,0.51563,0.70604,0.60913,0.50742,0.57455,0.77567,0.86346,0.008944,0.008944,0.008944
18,3927.79,0.72497,0.90264,0.89098,0.50685,0.70229,0.60989,0.50809,0.56329,0.7611,0.85965,0.008878,0.008878,0.008878
19,4143.71,0.7219,0.89971,0.88913,0.51247,0.71115,0.61435,0.5132,0.56076,0.76375,0.85775,0.008812,0.008812,0.008812
