epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.119,0.94549,3.69436,0.95475,0.41976,0.26126,0.14755,0.11779,0.7571,2.03306,0.91352,0.00333027,0.00333027,0.00333027
2,411.495,0.9067,2.44951,0.95795,0.41441,0.36853,0.25221,0.20029,0.77522,1.83597,0.9392,0.00653166,0.00653166,0.00653166
3,613.26,0.91781,2.01203,0.97345,0.4743,0.36318,0.31652,0.24539,0.84312,1.61138,0.97139,0.00960106,0.00960106,0.00960106
4,812.82,0.92177,1.63002,0.98454,0.56715,0.45698,0.46405,0.36032,0.76514,1.34381,0.94794,0.009406,0.009406,0.009406
5,1011.62,0.87138,1.27111,0.96219,0.62434,0.50123,0.5505,0.43272,0.757,1.17604,0.94743,0.009208,0.009208,0.009208
6,1209.05,0.83665,1.11314,0.95216,0.64655,0.48378,0.54925,0.42931,0.73208,1.1693,0.94467,0.00901,0.00901,0.00901
7,1406.05,0.81383,1.02342,0.94502,0.55747,0.60574,0.62076,0.49468,0.71613,1.08792,0.93255,0.008812,0.008812,0.008812
8,1606.02,0.79557,0.95081,0.93931,0.69828,0.60225,0.64353,0.50454,0.70788,1.05197,0.92437,0.008614,0.008614,0.008614
9,1806.21,0.7823,0.89209,0.93087,0.72996,0.64924,0.69177,0.54957,0.6923,0.87393,0.91577,0.008416,0.008416,0.008416
10,2002.2,0.76621,0.85524,0.92662,0.6723,0.67195,0.68669,0.54561,0.68569,0.90834,0.91592,0.008218,0.008218,0.008218
11,2202.11,0.75283,0.8104,0.92097,0.70164,0.71035,0.72304,0.58483,0.67327,0.89421,0.90057,0.00802,0.00802,0.00802
12,2409.43,0.74208,0.79418,0.91722,0.65466,0.73322,0.74372,0.59387,0.67426,0.77207,0.90706,0.007822,0.007822,0.007822
13,2614.03,0.72536,0.75484,0.91124,0.72963,0.72452,0.73694,0.59236,0.68027,0.79973,0.91443,0.007624,0.007624,0.007624
14,2821.04,0.72018,0.7367,0.90815,0.6967,0.72188,0.74015,0.59109,0.67279,0.81665,0.9048,0.007426,0.007426,0.007426
15,3025.53,0.71711,0.71267,0.90629,0.72863,0.73116,0.75807,0.60752,0.67038,0.8392,0.90333,0.007228,0.007228,0.007228
16,3230.8,0.70488,0.68874,0.90314,0.80458,0.73466,0.77858,0.63276,0.65831,0.68087,0.89809,0.00703,0.00703,0.00703
17,3436.69,0.70081,0.67926,0.90215,0.77663,0.74077,0.77984,0.6316,0.6483,0.67139,0.89918,0.006832,0.006832,0.006832
18,3642.11,0.6942,0.66488,0.90101,0.76497,0.76343,0.78188,0.63472,0.65026,0.70015,0.90256,0.006634,0.006634,0.006634
19,3846.64,0.6855,0.65419,0.89834,0.79324,0.77817,0.80012,0.64763,0.6524,0.65046,0.8999,0.006436,0.006436,0.006436
20,4054.53,0.68603,0.63916,0.89657,0.80401,0.7841,0.80936,0.66093,0.64678,0.60688,0.90263,0.006238,0.006238,0.006238
21,4261.31,0.67503,0.62914,0.89467,0.75746,0.77015,0.79966,0.64637,0.64672,0.67996,0.89573,0.00604,0.00604,0.00604
22,4468.08,0.66943,0.61334,0.89082,0.82333,0.77396,0.81269,0.65443,0.63722,0.61128,0.89465,0.005842,0.005842,0.005842
23,4676.06,0.66804,0.61291,0.8914,0.79252,0.80535,0.81902,0.66551,0.6264,0.59502,0.88851,0.005644,0.005644,0.005644
24,4884.56,0.65324,0.59093,0.886,0.82209,0.78492,0.8232,0.66858,0.62814,0.61028,0.8901,0.005446,0.005446,0.005446
25,5091.18,0.65518,0.59152,0.88585,0.82265,0.80048,0.8366,0.68354,0.62886,0.58154,0.88975,0.005248,0.005248,0.005248
26,5297.12,0.65109,0.57789,0.88599,0.80837,0.80128,0.84036,0.68933,0.6296,0.55644,0.89085,0.00505,0.00505,0.00505
27,5520.44,0.63848,0.55964,0.88183,0.81535,0.83016,0.85362,0.69313,0.61776,0.55071,0.88993,0.004852,0.004852,0.004852
28,5724.2,0.63998,0.54797,0.88147,0.82144,0.80802,0.84601,0.6959,0.62106,0.54017,0.88901,0.004654,0.004654,0.004654
29,5929.43,0.63143,0.5423,0.87977,0.82733,0.80538,0.84404,0.68532,0.61851,0.52291,0.88319,0.004456,0.004456,0.004456
30,6131.64,0.63187,0.54007,0.87999,0.80985,0.81141,0.84848,0.691,0.61916,0.53842,0.88553,0.004258,0.004258,0.004258
31,6333.08,0.62319,0.5285,0.87819,0.8257,0.82529,0.85945,0.70503,0.61523,0.53874,0.88397,0.00406,0.00406,0.00406
32,6538.63,0.62116,0.51536,0.87523,0.78212,0.86084,0.86052,0.70668,0.60991,0.53527,0.88506,0.003862,0.003862,0.003862
33,6744.55,0.61605,0.50697,0.87369,0.81013,0.83798,0.8635,0.71506,0.60378,0.52788,0.88008,0.003664,0.003664,0.003664
34,6949.82,0.61338,0.50558,0.87368,0.82934,0.82938,0.86158,0.70931,0.60623,0.5399,0.88274,0.003466,0.003466,0.003466
35,7164.78,0.60752,0.49326,0.87164,0.84308,0.8179,0.8629,0.70737,0.61306,0.52131,0.88468,0.003268,0.003268,0.003268
36,7377.58,0.61055,0.4889,0.87134,0.85194,0.82184,0.87061,0.71307,0.61002,0.50614,0.88233,0.00307,0.00307,0.00307
37,7585.29,0.59935,0.48141,0.86756,0.79652,0.85692,0.86508,0.71227,0.61203,0.51886,0.88326,0.002872,0.002872,0.002872
38,7788.18,0.59755,0.47637,0.86786,0.80476,0.85627,0.86472,0.70828,0.61067,0.51842,0.88194,0.002674,0.002674,0.002674
39,7991.52,0.58791,0.46934,0.8664,0.80929,0.8547,0.86965,0.71459,0.60897,0.50508,0.88149,0.002476,0.002476,0.002476
40,8196.34,0.58682,0.45841,0.86481,0.8439,0.8428,0.87088,0.71392,0.60962,0.49881,0.8837,0.002278,0.002278,0.002278
41,8471.86,0.55895,0.39682,0.85039,0.83763,0.84558,0.8726,0.71576,0.60973,0.48604,0.88296,0.00208,0.00208,0.00208
42,8673.89,0.54846,0.38447,0.84869,0.84644,0.82992,0.88158,0.72476,0.60706,0.48606,0.88186,0.001882,0.001882,0.001882
43,8874.59,0.54207,0.37212,0.84419,0.85219,0.83058,0.87577,0.71743,0.60635,0.48352,0.882,0.001684,0.001684,0.001684
44,9077.09,0.53699,0.36473,0.84387,0.84981,0.81982,0.87694,0.71879,0.60692,0.48103,0.88178,0.001486,0.001486,0.001486
45,9281.4,0.53027,0.35625,0.84106,0.84607,0.82383,0.87678,0.71851,0.60667,0.47843,0.88133,0.001288,0.001288,0.001288
46,9489.12,0.52651,0.34847,0.84063,0.84566,0.82732,0.87514,0.71932,0.6069,0.47437,0.88152,0.00109,0.00109,0.00109
47,9692.83,0.51843,0.34167,0.83919,0.84128,0.83664,0.87554,0.71776,0.60678,0.4724,0.88137,0.000892,0.000892,0.000892
48,9892.06,0.51122,0.33447,0.83391,0.83441,0.83835,0.8737,0.71622,0.60639,0.47282,0.88159,0.000694,0.000694,0.000694
49,10090.8,0.50624,0.32598,0.83413,0.82915,0.84179,0.87447,0.71758,0.60732,0.4725,0.88251,0.000496,0.000496,0.000496
50,10291.3,0.50312,0.31844,0.83418,0.82809,0.84057,0.87753,0.7204,0.60758,0.47241,0.8826,0.000298,0.000298,0.000298
