epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,291.599,1.75149,3.63542,1.25392,0.44097,0.26662,0.16216,0.10221,1.53137,2.2634,1.17925,0.0099883,0.00332943,0.0099883,0.00332943,0.0099883,0.00332943,0.0099883,0.00332943
2,514.213,1.72795,2.58407,1.24895,0.54814,0.28385,0.2485,0.15405,1.65264,2.11938,1.24519,0.0195889,0.00652965,0.0195889,0.00652965,0.0195889,0.00652965,0.0195889,0.00652965
3,721.534,1.7996,2.2782,1.3198,0.46741,0.25129,0.24714,0.14774,1.83271,2.54742,1.44185,0.02879,0.00959666,0.02879,0.00959666,0.02879,0.00959666,0.02879,0.00959666
4,922.269,1.83433,2.04906,1.3724,0.58734,0.36435,0.39842,0.24955,1.58665,1.82427,1.33221,0.0282018,0.0094006,0.0282018,0.0094006,0.0282018,0.0094006,0.0282018,0.0094006
5,1122.71,1.75457,1.8423,1.32495,0.61385,0.38655,0.46678,0.29713,1.5028,1.80934,1.30481,0.0276024,0.0092008,0.0276024,0.0092008,0.0276024,0.0092008,0.0276024,0.0092008
6,1339.45,1.67925,1.69537,1.2952,0.56213,0.47868,0.50482,0.32916,1.45614,1.55439,1.29481,0.027003,0.009001,0.027003,0.009001,0.027003,0.009001,0.027003,0.009001
7,1547.33,1.6379,1.60785,1.27554,0.64221,0.44394,0.54482,0.35751,1.45597,1.40608,1.2667,0.0264036,0.0088012,0.0264036,0.0088012,0.0264036,0.0088012,0.0264036,0.0088012
8,1755.97,1.61222,1.56517,1.26611,0.54041,0.58542,0.5676,0.38128,1.42277,1.40544,1.25884,0.0258042,0.0086014,0.0258042,0.0086014,0.0258042,0.0086014,0.0258042,0.0086014
9,1973.2,1.60767,1.53123,1.25839,0.60489,0.56635,0.62034,0.41757,1.40379,1.33006,1.24662,0.0252048,0.0084016,0.0252048,0.0084016,0.0252048,0.0084016,0.0252048,0.0084016
10,2182.6,1.57894,1.49014,1.24721,0.69862,0.54092,0.63893,0.43373,1.39938,1.29612,1.24725,0.0246054,0.0082018,0.0246054,0.0082018,0.0246054,0.0082018,0.0246054,0.0082018
