epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,458.065,1.18894,0.86572,1.05564,0.88849,0.83942,0.90195,0.66553,1.11464,0.75645,1.07099,6.79205e-05,6.79205e-05,6.79205e-05
2,893.711,1.24613,0.93416,1.08405,0.87403,0.82041,0.90471,0.65478,1.15016,0.84533,1.08983,0.000129131,0.000129131,0.000129131
3,1325.26,1.28409,1.00227,1.10543,0.8571,0.81671,0.90299,0.65165,1.18761,0.85658,1.11274,0.000183549,0.000183549,0.000183549
4,1756.06,1.31323,1.01471,1.11376,0.84407,0.80501,0.87437,0.63508,1.17173,0.86179,1.10335,0.000173431,0.000173431,0.000173431
5,2187.14,1.29016,0.99759,1.0984,0.85637,0.79825,0.87033,0.62699,1.15799,0.89947,1.09923,0.000163241,0.000163241,0.000163241
6,2617.7,1.25571,0.95823,1.08487,0.85733,0.83704,0.89775,0.65233,1.13701,0.82069,1.07745,0.000153051,0.000153051,0.000153051
7,3049.66,1.25475,0.94806,1.08216,0.88131,0.84263,0.89434,0.6531,1.14193,0.78977,1.07242,0.000142861,0.000142861,0.000142861
8,3481.31,1.23716,0.92527,1.07492,0.88048,0.82856,0.90049,0.66853,1.13337,0.79496,1.07141,0.000132671,0.000132671,0.000132671
9,3911.55,1.23167,0.92198,1.06975,0.87482,0.84969,0.91471,0.67011,1.12515,0.76022,1.07327,0.000122482,0.000122482,0.000122482
10,4342.16,1.22698,0.90939,1.07028,0.8883,0.85097,0.92207,0.68109,1.11673,0.7481,1.06871,0.000112292,0.000112292,0.000112292
11,4772.89,1.17286,0.79524,1.06856,0.905,0.85739,0.91636,0.68411,1.10024,0.72721,1.05525,0.000102102,0.000102102,0.000102102
12,5203.57,1.15433,0.77698,1.05397,0.90397,0.85871,0.91135,0.68013,1.09378,0.72718,1.0521,9.19122e-05,9.19122e-05,9.19122e-05
13,5634.28,1.12222,0.74995,1.03757,0.89912,0.8836,0.93203,0.69923,1.08198,0.69964,1.04639,8.17224e-05,8.17224e-05,8.17224e-05
14,6063.9,1.11597,0.73857,1.03316,0.91871,0.87134,0.9332,0.70291,1.06805,0.68024,1.04553,7.15326e-05,7.15326e-05,7.15326e-05
15,6493.66,1.1055,0.72287,1.03155,0.92508,0.86862,0.91985,0.70262,1.06821,0.67739,1.03888,6.13428e-05,6.13428e-05,6.13428e-05
16,6922.63,1.07844,0.70329,1.0239,0.92024,0.88206,0.93966,0.71774,1.06188,0.65932,1.03556,5.1153e-05,5.1153e-05,5.1153e-05
17,7351.05,1.06522,0.68298,1.01434,0.91243,0.88871,0.93324,0.71046,1.04909,0.66473,1.03108,4.09632e-05,4.09632e-05,4.09632e-05
18,7779.9,1.06166,0.67296,1.01424,0.87768,0.93164,0.93778,0.71583,1.04378,0.65163,1.02761,3.07734e-05,3.07734e-05,3.07734e-05
19,8209.74,1.04058,0.65967,1.00637,0.90519,0.9264,0.94252,0.72677,1.03666,0.63239,1.02497,2.05836e-05,2.05836e-05,2.05836e-05
20,8639.02,1.0337,0.64841,0.99523,0.89372,0.92859,0.94052,0.72294,1.03776,0.63034,1.02703,1.03938e-05,1.03938e-05,1.03938e-05
