epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,517.091,1.52181,2.44822,1.21443,0.64547,0.38638,0.40856,0.26983,1.44519,1.55817,1.24074,6.79602e-05,6.79602e-05,6.79602e-05
2,999.3,1.52487,1.58408,1.22897,0.61975,0.53408,0.55927,0.37571,1.41881,1.43132,1.25772,0.00012923,0.00012923,0.00012923
3,1476.53,1.49872,1.45588,1.23022,0.66784,0.6412,0.68483,0.47496,1.36143,1.22767,1.21155,0.000183768,0.000183768,0.000183768
4,1951.65,1.49949,1.37438,1.23061,0.66884,0.69537,0.75579,0.51389,1.35634,1.17068,1.21213,0.000173706,0.000173706,0.000173706
5,2427.04,1.46799,1.31052,1.20249,0.71664,0.66008,0.74804,0.50891,1.33011,1.10503,1.19127,0.000163608,0.000163608,0.000163608
6,2903.19,1.41778,1.21025,1.18145,0.71652,0.7335,0.7923,0.56093,1.28371,1.02281,1.17834,0.00015351,0.00015351,0.00015351
7,3380.28,1.4206,1.17392,1.17853,0.79839,0.77654,0.82114,0.58496,1.26084,0.98676,1.15155,0.000143412,0.000143412,0.000143412
8,3857.45,1.37266,1.12207,1.15476,0.78306,0.74678,0.8263,0.5863,1.25598,0.98463,1.15211,0.000133314,0.000133314,0.000133314
9,4334.59,1.37488,1.11623,1.15232,0.84855,0.79287,0.85687,0.60671,1.24124,0.91404,1.13989,0.000123216,0.000123216,0.000123216
10,4811.27,1.32381,1.05834,1.13362,0.8533,0.80856,0.85945,0.6164,1.221,0.91195,1.11778,0.000113118,0.000113118,0.000113118
11,5285.91,1.2793,0.94803,1.1339,0.87863,0.80576,0.89692,0.64981,1.19986,0.87555,1.11404,0.00010302,0.00010302,0.00010302
12,5760.02,1.25321,0.92049,1.1177,0.86883,0.83346,0.90471,0.65465,1.19898,0.85594,1.11266,9.2922e-05,9.2922e-05,9.2922e-05
13,6234.17,1.21826,0.88025,1.10247,0.9039,0.82971,0.9085,0.66527,1.16541,0.82675,1.07766,8.2824e-05,8.2824e-05,8.2824e-05
14,6709.04,1.1994,0.86794,1.09193,0.88853,0.83347,0.90276,0.66709,1.14112,0.78684,1.07711,7.2726e-05,7.2726e-05,7.2726e-05
15,7183.94,1.17589,0.82856,1.07945,0.89693,0.84792,0.91805,0.68016,1.12657,0.78102,1.06568,6.2628e-05,6.2628e-05,6.2628e-05
16,7659.23,1.15788,0.81843,1.07144,0.88288,0.86439,0.90131,0.67368,1.11786,0.75703,1.05498,5.253e-05,5.253e-05,5.253e-05
17,8134.61,1.13844,0.78606,1.06244,0.91441,0.85562,0.92688,0.69188,1.11048,0.74053,1.0522,4.2432e-05,4.2432e-05,4.2432e-05
18,8609.33,1.12776,0.7629,1.05895,0.90845,0.86699,0.93083,0.70042,1.09786,0.71354,1.04785,3.2334e-05,3.2334e-05,3.2334e-05
19,9084.35,1.11072,0.74939,1.04956,0.91704,0.86507,0.93232,0.70536,1.08426,0.70079,1.04266,2.2236e-05,2.2236e-05,2.2236e-05
20,9560.15,1.09577,0.7312,1.03322,0.90953,0.87237,0.93334,0.70696,1.0806,0.69756,1.0388,1.2138e-05,1.2138e-05,1.2138e-05
