epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,447.232,1.01699,0.66572,0.97179,0.88987,0.92986,0.94058,0.72088,1.05424,0.63373,1.02922,6.79205e-05,6.79205e-05,6.79205e-05
2,891.851,1.04131,0.68843,0.98212,0.89511,0.91011,0.93702,0.70677,1.08031,0.66594,1.0422,0.000129131,0.000129131,0.000129131
3,1334.66,1.07307,0.73397,0.99826,0.91127,0.87768,0.93433,0.70169,1.09165,0.67604,1.05068,0.000183549,0.000183549,0.000183549
4,1775.95,1.10544,0.75228,1.00795,0.90223,0.86884,0.92864,0.69824,1.08758,0.70935,1.04614,0.000173431,0.000173431,0.000173431
5,2217.19,1.0976,0.76076,1.00029,0.90714,0.85873,0.90886,0.67965,1.07818,0.70193,1.03613,0.000163241,0.000163241,0.000163241
6,2658.44,1.07668,0.72706,0.99234,0.91114,0.8696,0.93457,0.70094,1.0898,0.69584,1.05037,0.000153051,0.000153051,0.000153051
7,3100.57,1.0739,0.73512,0.99309,0.91628,0.88517,0.93463,0.70524,1.07008,0.64327,1.03895,0.000142861,0.000142861,0.000142861
8,3540.74,1.07191,0.7158,0.99263,0.91403,0.8932,0.93496,0.70981,1.06528,0.65444,1.02982,0.000132671,0.000132671,0.000132671
9,3981.81,1.06557,0.71407,0.98727,0.89934,0.88119,0.92669,0.70377,1.07577,0.65965,1.03427,0.000122482,0.000122482,0.000122482
10,4424.51,1.05937,0.71195,0.98622,0.90183,0.90784,0.93796,0.71201,1.0743,0.64762,1.03533,0.000112292,0.000112292,0.000112292
11,4867.5,1.00227,0.61586,0.97721,0.92802,0.88514,0.94095,0.7195,1.05333,0.63152,1.02947,0.000102102,0.000102102,0.000102102
12,5308.68,0.99051,0.60655,0.97117,0.88337,0.93009,0.94109,0.71634,1.05745,0.63239,1.02964,9.19122e-05,9.19122e-05,9.19122e-05
13,5751.4,0.96558,0.58955,0.95753,0.92577,0.90911,0.94037,0.72188,1.03806,0.63037,1.01596,8.17224e-05,8.17224e-05,8.17224e-05
14,6192.48,0.96222,0.58955,0.95416,0.93002,0.90847,0.94205,0.72879,1.04106,0.61744,1.02687,7.15326e-05,7.15326e-05,7.15326e-05
15,6632.82,0.95789,0.57655,0.95299,0.92587,0.91423,0.93634,0.72333,1.0372,0.61735,1.01881,6.13428e-05,6.13428e-05,6.13428e-05
16,7072.44,0.93953,0.56456,0.94882,0.92766,0.90943,0.93932,0.7286,1.03423,0.60921,1.02013,5.1153e-05,5.1153e-05,5.1153e-05
17,7513.06,0.92931,0.55986,0.94197,0.92685,0.91107,0.94464,0.73,1.02919,0.59755,1.01765,4.09632e-05,4.09632e-05,4.09632e-05
18,7953.73,0.93331,0.55363,0.94671,0.92711,0.91707,0.94566,0.73747,1.02847,0.59642,1.02206,3.07734e-05,3.07734e-05,3.07734e-05
19,8394.55,0.92348,0.54754,0.94536,0.92147,0.92059,0.94416,0.73522,1.0194,0.59251,1.01752,2.05836e-05,2.05836e-05,2.05836e-05
20,8834.63,0.92597,0.54652,0.9381,0.935,0.90972,0.94467,0.7361,1.0188,0.5903,1.01725,1.03938e-05,1.03938e-05,1.03938e-05
