epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1829.92,1.23257,0.94571,1.09803,0.86412,0.83901,0.872,0.65442,1.02447,0.6741,1.03297,0.00999623,0.00333208,0.00999623,0.00333208,0.00999623,0.00333208,0.00999623,0.00333208
2,3424.86,1.25087,0.95531,1.10718,0.89435,0.82546,0.86998,0.64364,1.06137,0.72008,1.04643,0.0189965,0.00633217,0.0189965,0.00633217,0.0189965,0.00633217,0.0189965,0.00633217
3,4935.84,1.32782,1.06979,1.14119,0.88217,0.74331,0.84599,0.60432,1.10392,0.80129,1.07446,0.0269969,0.00899897,0.0269969,0.00899897,0.0269969,0.00899897,0.0269969,0.00899897
4,6425.17,1.43215,1.21653,1.19918,0.85423,0.77206,0.85358,0.61778,1.11105,0.79738,1.0803,0.0255004,0.00850015,0.0255004,0.00850015,0.0255004,0.00850015,0.0255004,0.00850015
5,7914.44,1.43474,1.21549,1.20204,0.84869,0.75854,0.84022,0.61336,1.0959,0.77085,1.06864,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002,0.0240006,0.0080002
6,9402.84,1.4249,1.18562,1.19356,0.87502,0.79995,0.85418,0.62334,1.08359,0.75276,1.06563,0.0225007,0.00750025,0.0225007,0.00750025,0.0225007,0.00750025,0.0225007,0.00750025
7,10894.9,1.40481,1.15527,1.18259,0.85243,0.81395,0.86516,0.63525,1.05884,0.72515,1.0546,0.0210009,0.0070003,0.0210009,0.0070003,0.0210009,0.0070003,0.0210009,0.0070003
8,12387.1,1.38515,1.12519,1.16898,0.87397,0.80032,0.85624,0.63287,1.05373,0.72811,1.05015,0.019501,0.00650035,0.019501,0.00650035,0.019501,0.00650035,0.019501,0.00650035
9,13864,1.36211,1.09695,1.1602,0.88107,0.79365,0.86294,0.645,1.0438,0.70479,1.04486,0.0180012,0.0060004,0.0180012,0.0060004,0.0180012,0.0060004,0.0180012,0.0060004
10,15342.6,1.34657,1.07977,1.15347,0.89335,0.81171,0.86925,0.65019,1.03404,0.68991,1.03882,0.0165013,0.00550045,0.0165013,0.00550045,0.0165013,0.00550045,0.0165013,0.00550045
11,16817.6,1.29624,0.98141,1.16772,0.87857,0.82605,0.8726,0.65587,1.02864,0.68565,1.04082,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005,0.0150015,0.0050005
12,18288.7,1.26572,0.94182,1.15004,0.90068,0.8255,0.87089,0.65552,1.02344,0.66942,1.03699,0.0135016,0.00450055,0.0135016,0.00450055,0.0135016,0.00450055,0.0135016,0.00450055
13,19761.3,1.2487,0.91658,1.13772,0.89769,0.8333,0.86986,0.65604,1.01206,0.66613,1.03142,0.0120018,0.0040006,0.0120018,0.0040006,0.0120018,0.0040006,0.0120018,0.0040006
14,21238.8,1.23029,0.89141,1.12404,0.90691,0.83965,0.87505,0.66375,1.01011,0.6597,1.03165,0.0105019,0.00350065,0.0105019,0.00350065,0.0105019,0.00350065,0.0105019,0.00350065
15,22718.2,1.19497,0.85613,1.10747,0.90801,0.83528,0.87049,0.66427,1.00421,0.65511,1.03186,0.0090021,0.0030007,0.0090021,0.0030007,0.0090021,0.0030007,0.0090021,0.0030007
16,24191.2,1.17924,0.83476,1.09607,0.90714,0.8388,0.87061,0.66457,1.00127,0.65189,1.02925,0.00750225,0.00250075,0.00750225,0.00250075,0.00750225,0.00250075,0.00750225,0.00250075
17,25667.2,1.14571,0.79887,1.08019,0.89762,0.84024,0.87035,0.66595,0.99692,0.64895,1.02772,0.0060024,0.0020008,0.0060024,0.0020008,0.0060024,0.0020008,0.0060024,0.0020008
18,27145.1,1.12361,0.77932,1.06805,0.90786,0.83991,0.87363,0.67037,0.99676,0.64526,1.02789,0.00450255,0.00150085,0.00450255,0.00150085,0.00450255,0.00150085,0.00450255,0.00150085
19,28630.5,1.10393,0.7563,1.05552,0.90743,0.8395,0.87487,0.6726,0.99584,0.64666,1.02843,0.0030027,0.0010009,0.0030027,0.0010009,0.0030027,0.0010009,0.0030027,0.0010009
20,30120.5,1.08576,0.74327,1.0501,0.91201,0.83793,0.87398,0.67065,0.9968,0.64608,1.02937,0.00150285,0.00050095,0.00150285,0.00050095,0.00150285,0.00050095,0.00150285,0.00050095
