epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1841.69,1.2749,1.00121,1.12137,0.91014,0.80831,0.87162,0.65685,1.02419,0.69099,1.03445,0.00999623,0.00333208,0.00999623,0.00333208,0.00999623,0.00333208,0.00999623,0.00333208
2,3436.34,1.28982,1.01207,1.12871,0.84218,0.82685,0.86593,0.64527,1.06532,0.72574,1.05015,0.0189974,0.00633247,0.0189974,0.00633247,0.0189974,0.00633247,0.0189974,0.00633247
3,4943.68,1.36561,1.12104,1.16337,0.83601,0.78183,0.84615,0.59995,1.10106,0.78995,1.07249,0.0269996,0.00899987,0.0269996,0.00899987,0.0269996,0.00899987,0.0269996,0.00899987
4,6425.78,1.45764,1.26231,1.21518,0.85895,0.75921,0.83485,0.60142,1.10741,0.81318,1.0817,0.0255045,0.0085015,0.0255045,0.0085015,0.0255045,0.0085015,0.0255045,0.0085015
5,7908.97,1.46398,1.26424,1.21927,0.86278,0.77214,0.84365,0.61275,1.09602,0.779,1.07145,0.024006,0.008002,0.024006,0.008002,0.024006,0.008002,0.024006,0.008002
6,9389.96,1.45185,1.23064,1.20882,0.87637,0.79413,0.85017,0.61849,1.0846,0.75535,1.06649,0.0225075,0.0075025,0.0225075,0.0075025,0.0225075,0.0075025,0.0225075,0.0075025
7,10876.3,1.43331,1.19589,1.20143,0.81987,0.82328,0.85391,0.62647,1.06764,0.72868,1.0611,0.021009,0.007003,0.021009,0.007003,0.021009,0.007003,0.021009,0.007003
8,12364.4,1.40971,1.16331,1.18441,0.88636,0.79065,0.861,0.63893,1.05774,0.72668,1.05171,0.0195105,0.0065035,0.0195105,0.0065035,0.0195105,0.0065035,0.0195105,0.0065035
9,13851.2,1.38706,1.1354,1.17604,0.87432,0.77984,0.8546,0.63584,1.04537,0.71344,1.04459,0.018012,0.006004,0.018012,0.006004,0.018012,0.006004,0.018012,0.006004
10,15337.4,1.37338,1.12028,1.16952,0.87071,0.80044,0.86584,0.64728,1.03774,0.69901,1.04097,0.0165135,0.0055045,0.0165135,0.0055045,0.0165135,0.0055045,0.0165135,0.0055045
11,16819.6,1.32369,1.01915,1.18609,0.84008,0.83758,0.8714,0.65688,1.03109,0.68719,1.03923,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005,0.015015,0.005005
12,18305,1.29634,0.97634,1.16903,0.85623,0.83526,0.86982,0.65213,1.02771,0.67991,1.03636,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
13,19788.5,1.27329,0.95381,1.15561,0.86594,0.83214,0.87091,0.65729,1.01625,0.67252,1.0326,0.012018,0.004006,0.012018,0.004006,0.012018,0.004006,0.012018,0.004006
14,21272.2,1.25538,0.92647,1.14058,0.88848,0.84432,0.87435,0.6653,1.01294,0.66608,1.03064,0.0105195,0.0035065,0.0105195,0.0035065,0.0105195,0.0035065,0.0105195,0.0035065
15,22759.8,1.22255,0.89438,1.12395,0.90642,0.8325,0.87201,0.66175,1.00837,0.66231,1.02844,0.009021,0.003007,0.009021,0.003007,0.009021,0.003007,0.009021,0.003007
16,24244,1.20733,0.8706,1.1141,0.9136,0.8375,0.87398,0.66666,1.00613,0.65508,1.02827,0.0075225,0.0025075,0.0075225,0.0025075,0.0075225,0.0025075,0.0075225,0.0025075
17,25728.8,1.17348,0.83183,1.09612,0.90942,0.84059,0.87436,0.66972,1.00161,0.65192,1.02812,0.006024,0.002008,0.006024,0.002008,0.006024,0.002008,0.006024,0.002008
18,27212.9,1.15705,0.81496,1.08873,0.90705,0.83253,0.87319,0.67038,0.99919,0.64851,1.02802,0.0045255,0.0015085,0.0045255,0.0015085,0.0045255,0.0015085,0.0045255,0.0015085
19,28698.9,1.13724,0.79452,1.07428,0.90653,0.83433,0.87539,0.67312,0.99722,0.64598,1.02646,0.003027,0.001009,0.003027,0.001009,0.003027,0.001009,0.003027,0.001009
20,30185.9,1.11787,0.77809,1.06769,0.91525,0.83391,0.8756,0.67344,0.99837,0.6465,1.0271,0.0015285,0.0005095,0.0015285,0.0005095,0.0015285,0.0005095,0.0015285,0.0005095
