epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1802.49,1.43362,1.24437,1.20969,0.90457,0.78359,0.84761,0.62771,1.07038,0.75212,1.06442,0.00999623,0.00333208,0.00999623,0.00333208,0.00999623,0.00333208,0.00999623,0.00333208
2,3351.36,1.4563,1.26376,1.2229,0.88273,0.7678,0.85409,0.61925,1.10551,0.79457,1.07624,0.0190064,0.00633547,0.0190064,0.00633547,0.0190064,0.00633547,0.0190064,0.00633547
3,4810.79,1.53205,1.40224,1.2588,0.77296,0.72977,0.79336,0.55456,1.15033,0.90344,1.10765,0.0270266,0.00900887,0.0270266,0.00900887,0.0270266,0.00900887,0.0270266,0.00900887
4,6242.02,1.60895,1.53484,1.3097,0.83405,0.7113,0.8047,0.57525,1.1548,0.89042,1.11637,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,7682.57,1.59994,1.5088,1.30161,0.8312,0.72054,0.8003,0.57657,1.14178,0.86074,1.10621,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,9129.7,1.57737,1.45177,1.28424,0.81992,0.7866,0.83024,0.59629,1.12529,0.82854,1.0935,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,10580,1.54819,1.39785,1.27063,0.87059,0.73032,0.83068,0.60345,1.10654,0.8031,1.08154,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,12021.6,1.51647,1.35278,1.24865,0.88055,0.77912,0.84007,0.61186,1.09718,0.78084,1.07522,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,13464.1,1.49133,1.31594,1.23797,0.84367,0.80367,0.85238,0.62737,1.07575,0.762,1.06709,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,14915.6,1.47785,1.29194,1.23126,0.90347,0.78934,0.85001,0.62914,1.07015,0.74293,1.06237,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,16371.6,1.43068,1.19098,1.25443,0.90475,0.78359,0.85765,0.63387,1.05802,0.73642,1.05631,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,17821.3,1.40071,1.13708,1.23665,0.90381,0.79903,0.85716,0.63791,1.04317,0.71347,1.04936,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,19259.9,1.37944,1.10607,1.22275,0.91198,0.79794,0.86997,0.64974,1.03286,0.69959,1.04305,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,20726.7,1.35943,1.07516,1.20696,0.90849,0.79834,0.86831,0.64828,1.02906,0.69137,1.04087,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,22198.8,1.32551,1.03343,1.18839,0.90831,0.81149,0.86645,0.64926,1.02185,0.68894,1.03737,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,23668.7,1.30609,1.00665,1.17478,0.92086,0.80045,0.86827,0.65565,1.01663,0.67969,1.03498,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,25142.8,1.27501,0.962,1.16001,0.91814,0.80436,0.87228,0.65855,1.01418,0.67638,1.03457,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,26614.3,1.25148,0.93781,1.14802,0.90301,0.81301,0.87311,0.66071,1.01115,0.67132,1.03236,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,28084.1,1.22998,0.91329,1.1314,0.90334,0.80351,0.86927,0.65802,1.01087,0.67003,1.03173,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,29536,1.21166,0.89221,1.12455,0.90216,0.81119,0.8696,0.65857,1.01177,0.67159,1.03197,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
