epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1804.35,1.33213,1.07776,1.15364,0.88449,0.80907,0.86561,0.64734,1.04104,0.70873,1.04233,0.00999623,0.00333208,0.00999623,0.00333208,0.00999623,0.00333208,0.00999623,0.00333208
2,3361.95,1.35246,1.09781,1.16503,0.87308,0.80229,0.85748,0.62606,1.07015,0.74195,1.05487,0.0190064,0.00633547,0.0190064,0.00633547,0.0190064,0.00633547,0.0190064,0.00633547
3,4834.44,1.42424,1.21436,1.19904,0.85742,0.75053,0.83293,0.58816,1.12051,0.81483,1.08056,0.0270266,0.00900887,0.0270266,0.00900887,0.0270266,0.00900887,0.0270266,0.00900887
4,6277.83,1.51078,1.35224,1.24857,0.86654,0.72759,0.82792,0.60094,1.12177,0.83087,1.08879,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,7717.33,1.51096,1.34216,1.2478,0.85584,0.74913,0.83621,0.5998,1.11174,0.81001,1.08235,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,9159.7,1.49428,1.30618,1.23515,0.88113,0.76467,0.84619,0.61341,1.09554,0.78954,1.07392,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,10607,1.47593,1.26715,1.22736,0.86969,0.76986,0.84935,0.62443,1.07707,0.76399,1.06698,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,12055.6,1.45025,1.22944,1.20842,0.88723,0.78324,0.85476,0.63172,1.06393,0.7484,1.05511,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,13503.4,1.42912,1.20195,1.20077,0.84241,0.8077,0.85694,0.63211,1.06062,0.73278,1.05678,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,14952.1,1.41162,1.17999,1.19212,0.90723,0.77282,0.86371,0.64255,1.04264,0.71206,1.04691,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,16399.9,1.36904,1.08229,1.21415,0.91742,0.78996,0.86787,0.64921,1.04207,0.70566,1.04738,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,17846.7,1.33647,1.03879,1.19611,0.88094,0.80731,0.86575,0.64785,1.03417,0.69218,1.04301,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,19292.7,1.31868,1.01119,1.18463,0.87402,0.83295,0.87146,0.65805,1.02114,0.68021,1.03538,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,20742.4,1.30145,0.98701,1.16946,0.91058,0.81021,0.87314,0.66022,1.0191,0.67265,1.03603,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,22193.6,1.26445,0.95021,1.15121,0.86798,0.84284,0.8747,0.66679,1.01277,0.66633,1.03312,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,23638.5,1.25225,0.92817,1.14093,0.85679,0.84021,0.87214,0.66482,1.00918,0.66268,1.03068,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,25084.1,1.2161,0.88615,1.1227,0.87808,0.82842,0.87227,0.66373,1.00526,0.6588,1.02953,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,26529.5,1.19887,0.86681,1.11482,0.8779,0.83068,0.87179,0.66873,1.00159,0.6535,1.02723,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,27979.7,1.1779,0.84025,1.09988,0.87793,0.82793,0.8721,0.67023,0.99958,0.65253,1.02675,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,29437.5,1.1589,0.82636,1.09353,0.87878,0.82962,0.87142,0.66974,1.00023,0.65271,1.02656,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
