epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1776.29,1.93527,2.89488,1.48103,0.57099,0.28492,0.29883,0.19064,1.42613,1.67518,1.2462,0.00999623,0.00333208,0.00999623,0.00333208,0.00999623,0.00333208,0.00999623,0.00333208
2,3303.87,2.01558,2.3906,1.54187,0.54586,0.39719,0.39224,0.2576,1.44456,1.53557,1.28334,0.0190064,0.00633547,0.0190064,0.00633547,0.0190064,0.00633547,0.0190064,0.00633547
3,4748.74,2.02329,2.39951,1.55455,0.57285,0.39252,0.45531,0.28887,1.44518,1.52922,1.2936,0.0270266,0.00900887,0.0270266,0.00900887,0.0270266,0.00900887,0.0270266,0.00900887
4,6171.26,1.98585,2.27602,1.53882,0.66677,0.49682,0.54787,0.3679,1.34798,1.27551,1.25674,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,7593.72,1.86707,2.04084,1.47102,0.67285,0.52637,0.61608,0.42234,1.28417,1.13922,1.20774,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,9018.22,1.80394,1.89605,1.42534,0.72124,0.60566,0.67025,0.46272,1.23659,1.05744,1.17677,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,10439.7,1.74724,1.77635,1.39659,0.76152,0.61693,0.69632,0.48797,1.21774,0.98969,1.16808,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,11862,1.69068,1.68248,1.35826,0.78607,0.66051,0.74282,0.52667,1.18909,0.9295,1.1531,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,13281.8,1.65835,1.6186,1.34081,0.80746,0.69768,0.77401,0.55234,1.17092,0.89811,1.14264,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,14708.4,1.62682,1.56828,1.32425,0.79028,0.72869,0.78575,0.55968,1.15298,0.86335,1.13054,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,16132.1,1.58878,1.45909,1.36086,0.81594,0.74807,0.81038,0.58407,1.13787,0.83519,1.11899,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,17553.9,1.55072,1.39059,1.33529,0.87381,0.73974,0.82499,0.59909,1.11664,0.80955,1.10559,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,18976.3,1.51431,1.33508,1.30981,0.84166,0.79273,0.83313,0.61043,1.08861,0.78441,1.08311,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,20397.4,1.48213,1.28379,1.28489,0.85158,0.80676,0.84369,0.62425,1.06932,0.7586,1.06958,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,21822.6,1.4485,1.22583,1.26529,0.91321,0.76514,0.84872,0.63325,1.05885,0.74626,1.06231,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,23246.6,1.41825,1.18576,1.24507,0.90978,0.79036,0.85117,0.6317,1.0523,0.7351,1.05676,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,24673,1.38278,1.12711,1.22528,0.91361,0.79141,0.85267,0.63253,1.04793,0.72555,1.05392,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,26102.6,1.35702,1.08949,1.21172,0.90695,0.79352,0.85495,0.6376,1.04536,0.71712,1.05126,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,27530.6,1.33248,1.0519,1.19364,0.91013,0.80026,0.85718,0.64165,1.04177,0.71251,1.0484,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,28960.1,1.3102,1.0247,1.18541,0.9028,0.8055,0.85901,0.644,1.03901,0.70882,1.0468,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
