epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,243.609,1.73739,3.7879,1.25035,0.5217,0.20443,0.16073,0.10371,1.52636,2.12894,1.18798,0.0099883,0.00332943,0.0099883,0.00332943,0.0099883,0.00332943,0.0099883,0.00332943
2,443.586,1.71774,2.81454,1.25252,0.48444,0.2482,0.20235,0.12389,1.65178,2.20004,1.25547,0.0195925,0.00653085,0.0195925,0.00653085,0.0195925,0.00653085,0.0195925,0.00653085
3,629.093,1.77643,2.58446,1.30739,0.45779,0.25326,0.24718,0.14632,1.63408,2.16251,1.33023,0.0288008,0.00960026,0.0288008,0.00960026,0.0288008,0.00960026,0.0288008,0.00960026
4,811.435,1.80051,2.19509,1.35247,0.45863,0.38532,0.33503,0.2078,1.54014,2.04945,1.32754,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,991.926,1.72991,1.87527,1.31906,0.58526,0.41947,0.45784,0.29621,1.48923,1.66339,1.30003,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,1173.98,1.66406,1.70721,1.29129,0.6522,0.43591,0.50514,0.33189,1.44476,1.54336,1.2945,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,1357.1,1.62304,1.60578,1.27018,0.53831,0.5278,0.54202,0.35615,1.46268,1.50611,1.26558,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,1538.72,1.59403,1.55189,1.25959,0.54109,0.60855,0.59842,0.3948,1.40803,1.34343,1.24294,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,1718.46,1.58994,1.52378,1.25048,0.62832,0.58183,0.62225,0.41565,1.3951,1.2947,1.24992,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1898.04,1.56148,1.47366,1.24043,0.63818,0.58832,0.65714,0.43938,1.37929,1.26156,1.23289,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,2078.75,1.53103,1.4012,1.22223,0.6822,0.63828,0.68937,0.47362,1.36795,1.21348,1.21079,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,2258.29,1.52161,1.38915,1.21839,0.66274,0.64167,0.69361,0.47193,1.35243,1.18624,1.21386,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,2437.16,1.49957,1.33688,1.20208,0.75199,0.65319,0.74203,0.50662,1.33437,1.14753,1.21183,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,2616.87,1.50582,1.34777,1.20536,0.74926,0.66052,0.74469,0.51487,1.31773,1.12125,1.20015,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,2796.84,1.48951,1.31339,1.20253,0.72642,0.71712,0.76364,0.52472,1.32093,1.10333,1.2008,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,2975.78,1.46116,1.29817,1.19345,0.74058,0.68726,0.78218,0.54812,1.30622,1.08516,1.18779,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,3155.08,1.45443,1.26497,1.19243,0.78039,0.72599,0.7891,0.54947,1.29563,1.0513,1.18858,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,3334.62,1.44628,1.25951,1.17601,0.78337,0.72978,0.79621,0.55112,1.29464,1.04075,1.18375,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
