epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,970.995,2.17522,4.56991,1.5304,0.54275,0.21571,0.11553,0.07151,1.5432,2.65191,1.20225,0.00999812,0.00333271,0.00999812,0.00333271,0.00999812,0.00333271,0.00999812,0.00333271
2,1721.32,2.1183,3.48433,1.50868,0.395,0.2401,0.15985,0.10035,1.51143,2.48809,1.2055,0.0193382,0.00644606,0.0193382,0.00644606,0.0193382,0.00644606,0.0193382,0.00644606
3,2418.75,2.1514,3.00471,1.55253,0.53052,0.2436,0.22146,0.13797,1.49345,2.02197,1.25708,0.0280182,0.00933941,0.0280182,0.00933941,0.0280182,0.00933941,0.0280182,0.00933941
4,3102.13,2.12224,2.75637,1.5553,0.44039,0.32642,0.27538,0.17927,1.43696,1.74718,1.22558,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,3783.76,2.00774,2.51759,1.49292,0.536,0.35121,0.33545,0.21893,1.38766,1.61248,1.1935,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,4464.87,1.94901,2.38363,1.46458,0.61976,0.37586,0.39943,0.26486,1.35573,1.51635,1.1835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,5150.25,1.91498,2.29164,1.44039,0.63342,0.40091,0.43866,0.29873,1.32965,1.44653,1.17064,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,5835.03,1.87784,2.20172,1.41268,0.61334,0.44115,0.48515,0.32863,1.30677,1.38414,1.1601,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,6520.53,1.85121,2.15261,1.39695,0.65328,0.44934,0.51736,0.3574,1.29105,1.32223,1.15041,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,7208.66,1.83711,2.10717,1.3871,0.62895,0.50057,0.55432,0.3827,1.27799,1.27684,1.1422,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,7893.76,1.81584,2.06964,1.38139,0.70457,0.49778,0.57582,0.39856,1.26764,1.22756,1.13454,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,8580.89,1.79634,2.02885,1.36996,0.74153,0.50257,0.59645,0.41225,1.26046,1.19352,1.13183,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,9266.57,1.77696,1.98402,1.35058,0.7371,0.52145,0.62074,0.43137,1.25706,1.16928,1.12787,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,9954.35,1.75862,1.95499,1.34674,0.76723,0.54247,0.63055,0.43852,1.24388,1.14312,1.12284,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,10647.1,1.75228,1.92232,1.33827,0.78171,0.54789,0.64614,0.45187,1.23944,1.1217,1.12107,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,11337.6,1.73779,1.88252,1.33172,0.77863,0.54589,0.66231,0.46521,1.23496,1.10421,1.11828,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,12046.8,1.72392,1.85751,1.3211,0.781,0.55929,0.6696,0.46935,1.23109,1.09061,1.11619,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,12749.3,1.70696,1.8224,1.31707,0.77643,0.57778,0.67972,0.47756,1.22763,1.07282,1.11371,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,13460.5,1.71501,1.80652,1.31131,0.79954,0.57389,0.68585,0.48251,1.22371,1.05936,1.11096,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,14162.8,1.68373,1.76825,1.29945,0.79775,0.58095,0.69355,0.48817,1.22136,1.04902,1.10923,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,14849.7,1.64856,1.66911,1.32883,0.73075,0.63265,0.70195,0.49537,1.21837,1.03759,1.10818,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,15541.3,1.62722,1.62159,1.31595,0.71463,0.64588,0.70688,0.50013,1.21629,1.02734,1.10708,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,16231.2,1.62869,1.61625,1.3119,0.72323,0.65311,0.71021,0.50332,1.21381,1.01853,1.10567,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
