epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,770.248,0.98872,0.8277,0.97385,0.87265,0.90844,0.93187,0.70731,1.02839,0.62181,1.01241,6.79105e-05,6.79105e-05,6.79105e-05
2,1509.25,0.9929,0.76876,0.96854,0.86411,0.91265,0.91095,0.68497,1.05454,0.65071,1.03005,0.000135075,0.000135075,0.000135075
3,2238.77,1.01665,0.78142,0.98483,0.87554,0.88852,0.90407,0.67067,1.08783,0.69158,1.04591,0.000198925,0.000198925,0.000198925
4,2968.16,1.02305,0.78284,0.98429,0.88082,0.8903,0.92887,0.69566,1.08166,0.68659,1.04625,0.000192894,0.000192894,0.000192894
5,3697.55,1.01614,0.7758,0.98505,0.85726,0.90238,0.90863,0.67797,1.09598,0.67957,1.05487,0.000184539,0.000184539,0.000184539
6,4427.16,1.01664,0.76641,0.98393,0.89795,0.89504,0.93232,0.70128,1.06855,0.67494,1.03161,0.000174155,0.000174155,0.000174155
7,5155.06,1.00147,0.73799,0.97476,0.91316,0.88355,0.91632,0.69466,1.06134,0.65814,1.03381,0.000161996,0.000161996,0.000161996
8,5884.42,0.98993,0.7211,0.97132,0.88434,0.88927,0.91643,0.69692,1.05311,0.63903,1.02195,0.000148363,0.000148363,0.000148363
9,6615.13,0.95392,0.68572,0.95939,0.92823,0.88623,0.92618,0.70995,1.0395,0.62776,1.01984,0.00013359,0.00013359,0.00013359
10,7345.56,0.96065,0.68395,0.95839,0.91923,0.87845,0.92374,0.70304,1.03916,0.61877,1.02417,0.000118042,0.000118042,0.000118042
11,8077.51,0.9496,0.66339,0.95642,0.92774,0.8868,0.92859,0.71355,1.02464,0.60469,1.00838,0.000102102,0.000102102,0.000102102
12,8814.04,0.92967,0.65435,0.94848,0.92371,0.91187,0.94156,0.7229,1.01548,0.59374,1.00991,8.61616e-05,8.61616e-05,8.61616e-05
13,9552.09,0.91132,0.62924,0.94077,0.91067,0.92778,0.94358,0.72808,1.00698,0.58275,1.00353,7.06138e-05,7.06138e-05,7.06138e-05
14,10291.1,0.90968,0.61942,0.94023,0.92627,0.91812,0.9478,0.7352,1.00576,0.57802,1.00318,5.58413e-05,5.58413e-05,5.58413e-05
15,11024.2,0.89903,0.6006,0.93803,0.92539,0.9244,0.94818,0.73511,1.00394,0.5774,0.99823,4.22079e-05,4.22079e-05,4.22079e-05
16,11755,0.83883,0.50592,0.91797,0.92511,0.92565,0.94818,0.73615,0.99919,0.57433,0.99975,3.00492e-05,3.00492e-05,3.00492e-05
17,12484.6,0.82266,0.4906,0.91293,0.92483,0.92865,0.94718,0.73963,0.99538,0.57023,0.99993,1.96648e-05,1.96648e-05,1.96648e-05
18,13213.5,0.81319,0.48353,0.90687,0.93237,0.92462,0.94826,0.74022,0.99367,0.56484,0.9974,1.13102e-05,1.13102e-05,1.13102e-05
19,13941.1,0.80443,0.47464,0.90602,0.92795,0.92544,0.94737,0.74066,0.99146,0.56377,0.99847,5.19124e-06,5.19124e-06,5.19124e-06
20,14668.1,0.80657,0.47617,0.90286,0.92721,0.92707,0.94751,0.74122,0.99003,0.56403,0.99806,1.45853e-06,1.45853e-06,1.45853e-06
